,year_event,country_event,event
521,1999,Serbia,In January the Račak massacre occurs in which Serb forces kill at least 45 Albanians including the leader of the KLA Adem Jashari.
522,1999,Sweden,Church of Sweden separates from state and becomes independent organization
523,1999,United Kingdom,First elections to the Scottish Parliament and Welsh Assembly take place which will now be responsible for aspects of Scotland and Wales's governance.
524,2000,Albania,"It is reported that the government has shifted its attention away from the construction of the east–west trunk road ""Corridor 8,"" designed to link the South Balkans to the Adriatic, and is instead focusing on an internal north–south highway."
525,2000,Belgium,"Stock exchanges of Amsterdam, Brussels and Paris merge as Euronext.[161]"
526,2000,Croatia,"Croatian parliamentary election, 2000: The Social Democratic Party of Croatia (SDP) won a plurality of seats in the Sabor."
527,2000,Finland,Tarja Halonen became president of Finland.[8]
528,2000,Germany,Expo 2000: A world's fair was held in Hanover.
529,2000,Iceland,"Southern Iceland is hit by two earthquakes, the first 6.6 ML and the second 6.5 ML. There were no fatalities but a few people were injured and there was some considerable damage to infrastructure."
530,2000,Italy,"Bettino Craxi dies at Hammamet, Tunisia."
531,2000,Malta,Capital punishment abolished from military code of Malta.
532,2000,Poland,Presidential election
533,2000,Romania,Ion Iliescu returns to power after winning the elections;
534,2000,Russia,2000 Russian presidential election: Putin was elected President of Russia with 53 percent of the vote.
535,2000,Serbia,Slobodan Milošević is ousted following the October 5 Overthrow and million-strong demonstrations in central Belgrade. Vojislav Koštunica assumes power as the first democratic president of Yugoslavia.
536,2000,Sweden,"Øresund Bridge opened, creating road and railway connection between Sweden and mainland Europe"
537,2001,Albania,"Growth in gross domestic product is 7.3%, just slightly less than the 7.8% registered in 2000. Unemployment drops from 17.1% in 1999 to 13.3% in 2001, thanks to a government-supported job creation program that includes infrastructure-development projects within the framework of the Stability Pact for South Eastern Europe."
538,2001,Belgium,"Elisabeth, duchess of Brabant is born in Anderlecht."
539,2001,Bulgary,Simeon II won in the Bulgarian elections.
540,2001,Croatia,The Chamber of Counties was abolished by Constitutional amendment.
541,2001,Cyprus,The European Court of Human Rights found Turkey guilty of continuing human rights violations against the Greek Cypriots.
542,2001,Estonia,68 people died in Estonia after drinking bootleg alcohol that contained methanol.
543,2001,France,"""French government adopts a law that requires every French Web page to be officially archived.""[7]"
544,2001,Italy,Berlusconi's second term as Prime Minister begins.
545,2001,Malta,Simeon II won in the Bulgarian elections.
546,2001,Poland,Parliamentary election
547,2001,Portugal,"Hintze Ribeiro bridge disaster: 59 people die in the collapse of an old bridge on the Douro river. Hours after the accident, Jorge Coelho, Minister of Transportation, resigns."
548,2001,Russia,Mir - the last national orbital station re-entered Earth's atmosphere.[2][3]
549,2001,Serbia,"Albanian guerilla forces linked to the KLA attack Yugoslav forces within the ground safety zone between Serbia proper and Kosovo. The conflict went on for several weeks spreading into Serbia's municipalities of Preševo, Bujanovac and Medveđa before the resistance is finally suppressed. Guerilla fighters take refuge in the Republic of Macedonia igniting a 2001 Macedonia conflict"
550,2002,Albania,"Albania is working to conclude free-trade agreements with Macedonia, Yugoslavia, Bosnia and Hercegovina, and Croatia. The economy suffers a slight setback. Unemployment creeps up during the year. A United Nations Development Project report estimates that one-third of the population lives in poverty, earning less than $1 per capita per day. Large segments of the population live from subsistence agriculture and do not receive unemployment benefits."
551,2002,Austria,2002 European floods: Heavy rains resulted in destructive flooding in Salzburg and Upper Austria.
552,2002,Belgium,Euro enters into circulation to replace the Belgian franc
553,2002,Estonia,Estonia hosted the first Eurovision Song Contest in a former Soviet republic.
554,2002,France,"Introduction of the first euro coins and bills replacing the legacy currency, the franc."
555,2002,Germany,Physical Euro currency was introduced.  The Deutsche Mark lost its status as legal tender in Germany.
556,2002,Italy,The euro begins circulating as new official currency of Italy.
557,2002,Poland,Census
558,2002,Portugal,Portugal adopts the euro as currency.
559,2002,Russia,"Moscow theater hostage crisis: Chechen rebels seized the Dubrovka theater in Moscow, taking approximately 700 theatergoers hostage, and demanded an immediate Russian withdrawal from Chechnya."
560,2002,Slovenia,Most recent national census is conducted.[5]
561,2002,Switzerland,"Switzerland joined the United Nations, an intergovernmental organization devoted to the preservation of world peace and economic development."
562,2002,United Kingdom,Princess Margaret dies.
563,2003,Albania,"Albania opens negotiations with the European Commission on a Stabilization and Association Agreement, the first step towards membership of the European Union. (to February 13)"
564,2003,Belgium,"Belgian federal election, 2003 leads to formation of Verhofstadt II Government (sworn in 12 July)"
565,2003,Croatia,"Croatian parliamentary election, 2003: The HDZ won a plurality of seats in the Sabor."
566,2003,Cyprus,Cyprus was set to join the European Union in May 2004. Renewed negotiations about the status of the island took place.
567,2003,Estonia,Estonia approved joining the European Union in a referendum with 66% agreed with joining and 34% were against it.
568,2003,Italy,"Italy takes part in the Iraq War, although populations show disapproval through peace flags."
569,2003,Poland,Signing of the Treaty of Accession
570,2003,Russia,Russia-Ukraine territorial dispute over Tuzla Island
571,2003,Serbia,Third Yugoslavia is abolished and replaced with a state union of Serbia and Montenegro with Belgrade its capital.
572,2003,Slovenia,Referendums on joining the EU and NATO are held and both initiatives are successful.
573,2003,Spain,"Fernando Alonso wins the Hungarian Grand Prix, marking him F1's youngest winner."
574,2003,Sweden,Voters decide not to adopt euro as the country's official currency
575,2003,United Kingdom,"The United Kingdom, alongside the US, invades Iraq."
576,2004,Albania,A national day of mourning is called after 20 people dies in a shipwreckage during an illegal attempt to cross the Adriatic sea and reach Italy.
577,2004,Austria,2004 Austrian presidential election: Heinz Fischer of the social democratic Social Democratic Party of Austria (SPÖ) was elected president with fifty-two percent of the vote.[1]
578,2004,Belgium,"Trial of serial killer and child molester Marc Dutroux, sentenced to life imprisonment"
579,2004,Bulgary,Bulgaria became a NATO member.[1]
580,2004,Cyprus,2004 Annan Plan Referendum: The Annan Plan was accepted by the majority of Turkish Cypriots but overwhelmingly rejected by the Greek Cypriots.
581,2004,Estonia,"The largest expansion of the North Atlantic Treaty Organization to date takes place, allowing Bulgaria, Estonia, Latvia, Lithuania, Romania, Slovakia and Slovenia into the organization."
582,2004,France,"A law bans ""conspicuous"" religious symbols in schools. The law is renowned to target the Islamic headscarf, but forbids also Christian and Jewish symbols."
583,2004,Iceland,"The president of Iceland, Ólafur Ragnar Grímsson, refuses to sign a bill from the parliament for the first time in the nation's history.[citation needed]"
584,2004,Latvia,Latvia became a member of NATO.
585,2004,Malta,Bulgaria became a NATO member.[1]
586,2004,Poland,Accession of Poland to the European Union
587,2004,Portugal,2004 European Football Championship is held in Portugal.[14]
588,2004,Romania,Romania joins the North Atlantic Treaty Organization. Traian Băsescu becomes the fourth President of Romania.
589,2004,Russia,Russia–Belarus energy dispute
590,2004,Slovenia,"Slovenia, together with six former Warsaw Pact countries of Bulgaria, Estonia, Latvia, Lithuania, Romania and Slovakia, joins NATO."
591,2004,Spain,2004 Madrid train bombings: Madrid train bombings killed one hundred and ninety-one and injured over two thousand. Prime Minister José María Aznar blamed the Basque terrorists ETA.
592,2005,Albania,"Parliamentary elections end with a victory for the opposition Democratic Party (PD) and its allies, prominently the Republican Party (PR). Former president Sali Berisha became prime minister as a result of the election.[19]"
593,2005,Belgium,Celebration of 175 years of Belgian independence and 25 years of federalism
594,2005,Croatia,"Croatian presidential election, 2005: Mesić, running as an independent, and Jadranka Kosor of the HDZ qualified for the second round."
595,2005,Estonia,"The same storm which pounded the U.S. earlier in the month hit England, Scandinavia and the Baltic States, leaving 13 dead with widespread flooding and power cuts."
596,2005,France,suburban riots.
597,2005,Germany,Pope Benedict XVI was elected pope.
598,2005,Iceland,Bobby Fischer moves to Iceland after having been granted an Icelandic passport and full citizenship.[citation needed]
599,2005,Italy,"Nicola Calipari, Italian secret agent, is shot dead by friendly fire from a US patrol during the rescue of journalist Giuliana Sgrena from kidnappers in Baghdad. US later refused the extradition of the identified shooter, Mario Lozano."
600,2005,Poland,Death of Pope John Paul II
601,2005,Portugal,"The 2006 Dakar Rally, the longest and, arguably, the hardest off-road rally in the world starts in Lisbon.[15]"
602,2005,Russia,"October 2005 Nalchik attack: A large group of terrorists assaulted and captured buildings throughout the city of Nalchik. By afternoon Russian soldiers surrounded and entered the city, forcing their enemies to retreat. Some 136 people were killed."
603,2005,Serbia,SAA talks with the EU are launched aimed at providing closer ties with the EU. The state becomes an EU potential candidate country
604,2005,Slovenia,Slovenia takes over the rotating presidency of the Organization for Security and Co-operation in Europe.
605,2005,Spain,Patrimoni Digital de Catalunya (archive) established.
606,2005,Spain,"Fernando Alonso wins the Championship against Kimi Raikkonen in Brazil, marking him F1's youngest world champion."
607,2006,Albania,"Speedboats are banned in coastal waters, in order to fight people and drug smuggling"
608,2006,Belgium,2006 Belgian local elections
609,2006,Estonia,Toomas Hendrik Ilves was elected President of Estonia.
610,2006,Finland,A presidential election took place.
611,2006,Germany,2006 FIFA World Cup: The 2006 FIFA World Cup was held in Germany.
612,2006,Iceland,"The United States Army abandons the military base in Keflavík, thus ending a 55-year U.S. military presence in Iceland.[citation needed]"
613,2006,Italy,The 2006 Winter Olympics are held in Turin (to 26 February).[22]
614,2006,Poland,Katowice Trade Hall roof collapse
615,2006,Russia,32nd G8 summit in St. Petersburg
616,2006,Serbia,Death of Slobodan Milošević
617,2006,Slovenia,Slovenia takes over the rotating presidency of the IAEA.
618,2006,Spain,2006 Madrid Barajas International Airport bombing: A bombing by ETA ended an active ceasefire and peace negotiations.
619,2007,Albania,"Despite the political situation, the economy of Albania grew at an estimated 5% in 2007. The Albanian lek has strengthened from 143 lekë to the US dollar in 2000 to 92 lekë in 2007, mainly due to the depreciation of the US dollar, but also thanks to the overall improvement of the Albanian economy."
620,2007,Belgium,"Belgian federal election, 2007"
621,2007,Bulgary,Bulgaria became an EU member along with Romania.[9]
622,2007,Croatia,"Croatian parliamentary election, 2007: The HDZ maintained its plurality in the Sabor."
623,2007,Estonia,"Russians riot in Tallinn, Estonia, about moving the Bronze Soldier. Two nights of rioting left one dead.[8] Cyber attacks launched against Estonia."
624,2007,Finland,"Kimi Raikkonen wins the Championship against both Fernando Alonso and Lewis Hamilton, in Brazil."
625,2007,France,Nicolas Sarkozy began his term as president of France.
626,2007,Malta,Bulgaria became an EU member along with Romania.[9]
627,2007,Poland,Parliamentary election
628,2007,Portugal,"In the second Portuguese abortion referendum, almost 9 years after the first, the proposal to allow the abortion until 10 weeks of pregnancy is now approved by 59,25% of the voters. The law is published in April.[16]"
629,2007,Romania,"On January 1, Romania join the European Union, together with Bulgaria. Traian Băsescu was temporarily suspended for alleged constitutional violations and replaced with Nicolae Văcăroiu."
630,2007,Russia,Boris Yeltsin died of congestive heart failure.
631,2007,Slovenia,"Slovenia adopts the euro as its legal tender currency, and begins issuing its own euro coins."
632,2007,United Kingdom,Gordon Brown becomes Prime Minister.
633,2008,Albania,"An explosion in a badly-maintained arms depot causes 16 deaths and over 300 injured,  damaging Tirana airport. Defense minister Fatmir Mediu resigns."
634,2008,Belgium,Leterme I Government sworn in
635,2008,Cyprus,"Demetris Christofias replaced Tassos Papadopoulos as president of the Republic of Cyprus. It was the first time that a leader of the Greek Cypriot communist party, AKEL, had entered the presidential race. He was at the time the only communist leader in the European Union."
636,2008,Germany,"Sebastian Vettel wins the Italian Grand Prix, marking him F1's youngest winner."
637,2008,Iceland,A doublet earthquake strikes southern Iceland with a composite magnitude of 6.1 MW[35]
638,2008,Italy,Berlusconi's third term as Prime Minister begins.
639,2008,Romania,"In February the Government overrule court decision that commission investigating Communist-era secret police is illegal. For two days, starting on April 2, Romania host 2008 NATO summit. Legislative election are held on November 30. Emil Boc becomes the new Prime Minister following the elections."
640,2008,Russia,"2008 Russian presidential election: Deputy Prime minister Dmitry Medvedev won, earning 70.5 percent of the vote."
641,2008,Slovenia,Slovenia takes over the rotating presidency of the European Union as the first among the new member states.
642,2008,Spain,Moroccan national Jamal Zougam was found guilty of the 2004 train bombings in Madrid.
643,2009,Albania,Albania joins NATO and submit application for membership in the European Union
644,2009,Belgium,Johan Bonny consecrated as bishop of Antwerp
645,2009,Bulgary,Recession of 2009 occurred.[3]
646,2009,Croatia,Croatia joins NATO
647,2009,Finland,The Sello mall shooting occurred.
648,2009,Germany,"German federal election, 2009: Elections were held to the Bundestag.  The SPD lost seventy-six seats; the CDU-CSU coalition and the liberal Free Democratic Party of Germany (FDP) gained."
649,2009,Iceland,After months of rallies outside the parliament building the Icelandic government resigns.[citation needed]
650,2009,Italy,"An earthquake strikes L'Aquila, causing the death of 307 people and making about 65,000 homeless."
651,2009,Malta,Recession of 2009 occurred.[3]
652,2009,Romania,"Badly affected by the Late-2000s recession, the International Monetary Fund and other lenders agree to provide Romania a rescue package worth 20bn Euros.[156] A Government crisis begins in April when the Social Democratic Party pulls out of ruling coalition, leaving Prime Minister Emil Boc at head of minority government, which subsequently loses a confidence vote in parliament. On December 6, Traian Băsescu is re-elected as president for a second mandate after marginally winning the presidential election in front of Mircea Geoană."
653,2009,Russia,2009 Russia–Ukraine gas dispute
654,2009,Slovenia,Slovenia takes over the rotating presidency of the Council of Europe.
655,2009,Sweden,Same-sex marriage legalized in Sweden
656,2010,Albania,"The Socialist Party starts a civil disobedience campaign against the government, asking for a new count of votes, and including hunger strike of opposition leaders[23]"
657,2010,Belgium,André-Joseph Léonard succeeds Godfried Danneels as archbishop of Mechelen-Brussels
658,2010,Bulgary,Bulgaria started to export goods to nations that didn't join the European Union.
659,2010,Croatia,"Croatian presidential election, 2009–2010: Josipović won with 60% of the vote."
660,2010,Finland,"In the 2010 Winter Olympics, 95 athletes competed."
661,2010,France,"A law to ban face covering from public space is passed by the Senate of France. The law had been previously passed by the National Assembly of France on 13 July 2010. The law is renowned to target the burqa and the niqab, that President Sarkozy declared ""not welcome"" in France."
662,2010,Germany,European debt crisis: Greece requested a loan from the EU and the International Monetary Fund.
663,2010,Germany,"Sebastian Vettel wins the  Abu Dhabi Grand Prix and the Championship, marking him F1's youngest world champion."
664,2010,Iceland,"The president of Iceland, Ólafur Ragnar Grímsson, refuses to sign a bill from the parliament for the second time in the nation's history.[citation needed]"
665,2010,Italy,Former President Francesco Cossiga dies.[23]
666,2010,Malta,Bulgaria started to export goods to nations that didn't join the European Union.
667,2010,Poland,Polish Air Force Tu-154 crash killing Polish President Lech Kaczyński
668,2010,Poland,Bronisław Komorowski elected president.
669,2010,Portugal,"The law that allows the same-sex marriage is approved by the Portuguese President of the Republic, Aníbal Cavaco Silva.[17]"
670,2010,Russia,"The New START treaty, which would cut the nuclear arsenals of Russia and the United States by a third, was signed."
671,2010,Slovenia,Slovenia becomes a member of the OECD.
672,2010,Spain,Spain won the FIFA World Cup.[7]
673,2010,Sweden,Military conscription paused
674,2010,United Kingdom,David Cameron becomes Prime Minister.
675,2011,Albania,"The Central Election Commission begins burning the ballots of the 2009 parliamentary elections, in a routine process leading to the 8 May local elections, making a second count (repeatedly requested by opposition) impossible. The Socialist Party has accused the CEC and the Berisha government to attempt hiding vote manipulation.[26]"
676,2011,Belgium,Sixth Belgian state reform finalised
677,2011,Croatia,"Croatian parliamentary election, 2011: The SDP won a plurality of seats in the Sabor."
678,2011,Estonia,Toomas Hendrik Ilves is re-elected president for a second five-year term.
679,2011,Finland,The Finnish parliamentary election was held.
680,2011,France,France leads the NATO intervention in Libya to overthrow Muammar Gaddafi. The Libyan leader is eventually killed on 20 October 2011.
681,2011,Iceland,"The president of Iceland, Ólafur Ragnar Grímsson, refuses to sign a bill from the parliament for the third time in the nation's history.[citation needed]"
682,2011,Poland,Suicide of Andrzej Lepper
683,2011,Poland,Parliamentary election
684,2011,Russia,Time zones reform reduced its number from 11 to 9
685,2011,Serbia,Bosnian Serb military commander Ratko Mladić arrested.[37][38]
686,2011,United Kingdom,Wedding of Prince William and Catherine Middleton.
687,2012,Albania,September 2012 Hunger strike of former politically persecuted in Albania (2012)
688,2012,Belgium,"Closure of Ford Genk announced, to be completed in 2014 with loss of over 4,000 jobs.[162]"
689,2012,Finland,Sauli Niinistö became president of Finland.[8]
690,2012,France,François Hollande began his term as president of France.
691,2012,Germany,2012 German presidential election: Joachim Gauck was elected Federal President.
692,2012,Italy,Former President Oscar Luigi Scalfaro dies.
693,2012,Poland,"A train crash near Szczekociny, Poland, kills 16 people."
694,2012,Russia,"2012 Russian presidential election: Vladimir Putin won, earning 63.6 percent of the vote.[4]"
695,2012,Slovenia,"Borut Pahor wins the fifth presidential election, and becomes the fourth President of Slovenia."
696,2012,United Kingdom,"The Shard tops out in construction, becoming the tallest building in Western Europe."
697,2013,Belgium,Philippe becomes 7th king of the Belgians
698,2013,Bulgary,"Oktay Enimehmedov attempted to launch a gas pistol at Ahmed Dogan who was the leader of the Turkish political party. After the gun wasn't successful at releasing a bullet, Enimehmedov was beaten up.[1]"
699,2013,Croatia,Croatia becomes the 28th member state of the European Union.
700,2013,Finland,The Jyväskylä library stabbing occurred.
701,2013,France,Beginning of the French intervention in Mali against Islamic militants known as Operation Serval (11 January 2013 – 15 July 2014)
702,2013,Germany,"German federal election, 2013: Elections were held to the Bundestag.  The FDP failed to meet the electoral threshold.  The CDU-CSU coalition and the SPD both gained seats."
703,2013,Italy,Former Prime Minister Giulio Andreotti dies at 94 years old in Rome.
704,2013,Malta,"Oktay Enimehmedov attempted to launch a gas pistol at Ahmed Dogan who was the leader of the Turkish political party. After the gun wasn't successful at releasing a bullet, Enimehmedov was beaten up.[1]"
705,2013,Romania,Large protests against Prime Minister Victor Ponta. (to 2014)
706,2013,Russia,2013 Summer Universiade in Kazan
707,2013,United Kingdom,Same-sex marriage is legalized in the United Kingdom.
708,2014,Belgium,Jewish Museum of Belgium shooting kills four
709,2014,Bulgary,Romanians and Bulgarians can work in the 28 European Union member states after the European Commission announced it.
710,2014,Finland,Vladimir Putin said Finland could join NATO but Russia would have to react.[11]
711,2014,Germany,The EU instituted travel bans and asset freezes against individuals connected with the Russian invasion of Crimea.
712,2014,Germany,"Mercedes wins their first championship against Red Bull in Russia, despite tensions between Hamilton and Rosberg."
713,2014,Latvia,Latvia became a member of Eurozone.
714,2014,Malta,Romanians and Bulgarians can work in the 28 European Union member states after the European Commission announced it.
715,2014,Poland,Canonization of Pope John Paul II
716,2014,Poland,Death of Wojciech Jaruzelski
717,2014,Romania,"Klaus Iohannis becomes the fifth President of Romania, who is also the first ethnic German President of Romania."
718,2014,Russia,2014 Winter Olympics
719,2014,United Kingdom,The Scottish independence referendum takes place; Scotland decides to remain part of the United Kingdom.
720,2015,Belgium,Jozef De Kesel succeeds André-Joseph Léonard as archbishop of Mechelen-Brussels
721,2015,Croatia,"2014–15 Croatian presidential election: Kolinda Grabar-Kitarović was voted to be the president of Croatia with 50,74% of the vote.,[36] becoming Croatia's first female president.[37][Note 1]"
722,2015,Croatia,"Croatian parliamentary election, 2015: The Patriotic Coalition won a plurality of seats in the Sabor, with Croatia is Growing coalition coming second and MOST third."
723,2015,France,"17 people, including three police officers, are killed in two terrorist attacks by Muslim terrorists; the Charlie Hebdo shooting targeted a magazine which published cartoons of Mohammed.[8]"
724,2015,Germany,In European migrant crisis migrants number in Germany increase up to 1.5 million in 2015.
725,2015,Ireland,A 62% to 38% referendum result makes Ireland the first country to legalise same-sex marriage by popular vote.[29]
726,2015,Italy,President Giorgio Napolitano resigns.
727,2015,Poland,Presidential election
728,2015,Poland,Andrzej Duda becomes President
729,2015,Russia,The Treaty on the Eurasian Economic Union came into force.
730,2015,Spain,Artur Mas defies Spain by calling early elections on independence of the region of Catalonia.
731,2015,United Kingdom,Birth of Princess Charlotte of Cambridge.
732,2016,Belgium,2016 Brussels bombings
733,2016,Estonia,Kersti Kaljulaid was elected President of Estonia.
734,2016,France,A cargo truck was deliberately driven into crowds of people celebrating Bastille Day on the Promenade des Anglais in Nice resulting in the deaths of 86 people and the injury of 458 others. 2016 Nice truck attack
735,2016,Germany,Bad Aibling rail accident
736,2016,Iceland,"Panama Papers reveal that Prime Minister Sigmundur Davíð Gunnlaugsson had links to private companies dealing in offshore tax havens, resulting in a call for a snap election""[36]"
737,2016,Italy,Former President Carlo Azeglio Ciampi died in Rome.[24][25]
738,2016,Portugal,"Portugal national football team wins the 2016 UEFA European Football Championship, in State de France in Paris, France."
739,2016,Russia,2016 Russian legislative election
740,2016,United Kingdom,The United Kingdom votes to leave the European Union.
741,2017,Belgium,Samusocial scandal breaks in Brussels parliament
742,2017,France,Emmanuel Macron began his term as president of France.
743,2017,Germany,Frank-Walter Steinmeier became Federal President.
744,2017,Portugal,"Salvador Sobral wins the 62nd edition of the Eurovision Song Contest, with the song Amar Pelos Dois, composed by Luísa Sobral, in Kiev, Ukraine."
745,2017,Russia,St. Petersburg International Economic Forum[7]
746,2017,Slovenia,"Borut Pahor wins the sixth presidential election, and becomes the second president to win a second mandate."
747,2017,Spain,"2017 Barcelona attacks: Barcelona, Cambrils, Alcanar and Subirats were attacked by terrorists from Islamic State of Iraq and the Levant (ISIL)."
748,2018,Belgium,"Michel I Government splits, to be succeeded by Michel II Government, after division over endorsement of the Global Compact for Migration"
749,2018,Finland,A presidential election was held.
750,2018,France,Demonstrations of the Yellow vests movement started.
751,2018,France,France wins the 2018 FIFA World Cup.
752,2018,Germany,"Angela Merkel was elected to her fourth term as chancellor (364/688 votes in the Bundestag), forming the Fourth Merkel cabinet. Olaf Scholz (SPD) became Vice Chancellor."
753,2018,Italy,"Italian general election, 2018[26]"
754,2018,Portugal,"Lisbon hosts the 63rd edition of the Eurovision Song Contest, after Portugal's win in the previous year."
755,2018,Russia,2018 Russian presidential election[9]
756,2018,Spain,Pedro Sánchez is sworn in as Prime Minister after winning a motion of censure.
757,2018,Sweden,Military conscription reactivated
758,2018,United Kingdom,Birth of Prince Louis of Cambridge.
759,2019,Austria,Niki Lauda dies
760,2019,Belgium,2019 Belgian federal election
761,2019,Croatia,2019–20 Croatian presidential election was held. Zoran Milanović (SDP) wins with over 52% popular vote against Kolinda Grabar-Kitarović (HDZ)
762,2019,Germany,British troops in Germany that stayed there since World War II are expected to leave.
763,2019,Russia,2019 Moscow City Duma election preceded by massive public protests in support of unregistered opposition candidates.
764,2019,Spain,"Trial of Catalonia independence leaders: Takes place over several months, following the 2017 declaration of independence of Catalonia. Nine defendants sentenced to 9 to 13 years in prison on sedition and misuse of public funds charges; three other defendants fined for disobedience. This sparked subsequent protests by independence citizens."
765,2019,United Kingdom,"The motion to approve the Brexit withdrawal agreement - otherwise known as the ""meaningful vote"" - was rejected 202–432. This was the largest defeat on a government motion in history.[11][12]"
766,2020,Belgium,Public confirmation of first patient tested positive for the COVID-19 pandemic in Belgium[163]
767,2020,Croatia,2020 coronavirus outbreak in Croatia. Currently there over 210 cases of COVID-19 confirmed.
768,2020,Croatia,"2020 Zagreb earthquake. At 6:24 AM, an 5.4 magnitude earthquake hit Zagreb and killed 1 teenager from the falling bricks. Its shock traveled few hundred kilometers."
769,2020,Croatia,An earthquake hit near village of Petrinja at 12:19 PM with magnitude 6.2ML  killing 7 people.
770,2020,France,Murder of Samuel Paty
771,2020,Germany,Hanau shootings
772,2020,Italy,"COVID-19 pandemic hits Italy among the first countries in Europe. COVID-19 virus originated in China, spreads in Italy without being clearly detected in the winter of 2019."
773,2020,Italy,"In March 2020, the government imposed a national quarantine as a measure to limit the spread of the coronavirus pandemic in the country.[27][28] Later that month, Italy became the country with the highest total number of deaths in the worldwide coronavirus pandemic.[29]"
774,2020,Italy,"On 27 December 2020, the COVID-19 vaccination campaign in Italy starts. The first Pfizer - BioNTech COVID-19 vaccines are sent to Italy."
775,2020,Russia,2020 Presidential Address to the Federal Assembly. Announcement of the constitutional reform. Resignation of the Cabinet.
776,2020,Spain,Sánchez II Government: It become the first nationwide coalition government to be formed in Spain since the Second Spanish Republic. The parties were Spanish Socialist Workers' Party (PSOE) and Unidas Podemos.
777,2020,United Kingdom,The United Kingdom leaves the European Union.
778,2021,Belgium,"DDOS attack on Belnet disrupts accessibility of websites using the .be domain, including those of the Belgian government, parliament, police, educational and research institutions, health care, and public broadcasters,[164][165] forcing the postponement of parliamentary hearings relating to the Uyghur genocide.[166]"
779,2021,Croatia,GDP growth in Croatia increased by hitting record high 10.4% after contracting 8.1% in 2020
780,2021,Germany,January 2021 CDU leadership election: Armin Laschet defeats Friedrich Merz and Norbert Röttgen to become CDU leader.
781,2021,Italy,Mario Draghi appointed Prime Minister.
782,2021,Slovenia,Slovenia takes over the rotating presidency of the European Union for the second time.
783,2021,United Kingdom,"Death of Prince Philip, Duke of Edinburgh, at the age of 99."
